l'epinay-le-comte,l'épinay-le-comte
l'etang-bertrand,l'étang-bertrand
illiers-l'evêque,illiers-l'évêque
l'etang-salé,l'étang-salé
thun-l'evêque,thun-l'évêque
epieds-en-beauce,épieds-en-beauce
ezy-sur-eure,ézy-sur-eure
epreville-en-roumois,épreville-en-roumois
bailleau-l'evêque,bailleau-l'évêque
berre-l'etang,berre-l'étang
l'ecaille,l'écaille
marigny-l'eglise,marigny-l'église
ecurey-en-verdunois,écurey-en-verdunois
le plessis-l'evêque,le plessis-l'évêque
puy-l'evêque,puy-l'évêque
yvré-l'evêque,yvré-l'évêque
etrelles-et-la-montbleuse,étrelles-et-la-montbleuse
les roches-l'evêque,les roches-l'évêque
beauregard-l'evêque,beauregard-l'évêque
chirat-l'eglise,chirat-l'église
coeuvres-et-valsery,cœuvres-et-valsery
boeurs-en-othe,bœurs-en-othe
nézignan-l'evêque,nézignan-l'évêque
bordères-sur-l'echez,bordères-sur-l'échez
bourg-l'evêque,bourg-l'évêque
saint-cyr-l'ecole,saint-cyr-l'école
eragny-sur-epte,éragny-sur-epte
cheylard-l'evêque,cheylard-l'évêque
crèvecoeur-en-auge,crèvecœur-en-auge
l'etrat,l'étrat
marcq-en-baroeul,marcq-en-barœul
mons-en-baroeul,mons-en-barœul
heiltz-l'evêque,heiltz-l'évêque
saint-dizier-l'evêque,saint-dizier-l'évêque
sanssac-l'eglise,sanssac-l'église
epreville-en-lieuvin,épreville-en-lieuvin
bois-l'evêque,bois-l'évêque
neuilly-l'evêque,neuilly-l'évêque
savigné-l'evêque,savigné-l'évêque
oeuf-en-ternois,œuf-en-ternois
etoile-sur-rhône,étoile-sur-rhône
bort-l'etang,bort-l'étang
fêche-l'eglise,fêche-l'église
voeuil-et-giget,vœuil-et-giget
crèvecoeur-en-brie,crèvecœur-en-brie
verneuil-l'etang,verneuil-l'étang
argenton-l'eglise,argenton-l'église
l'epinay-le-comte,l'épinay-le-comte
l'etang-bertrand,l'étang-bertrand
illiers-l'evêque,illiers-l'évêque
l'etang-salé,l'étang-salé
thun-l'evêque,thun-l'évêque
epieds-en-beauce,épieds-en-beauce
ezy-sur-eure,ézy-sur-eure
epreville-en-roumois,épreville-en-roumois
bailleau-l'evêque,bailleau-l'évêque
berre-l'etang,berre-l'étang
l'ecaille,l'écaille
marigny-l'eglise,marigny-l'église
ecurey-en-verdunois,écurey-en-verdunois
le plessis-l'evêque,le plessis-l'évêque
puy-l'evêque,puy-l'évêque
yvré-l'evêque,yvré-l'évêque
etrelles-et-la-montbleuse,étrelles-et-la-montbleuse
les roches-l'evêque,les roches-l'évêque
beauregard-l'evêque,beauregard-l'évêque
chirat-l'eglise,chirat-l'église
coeuvres-et-valsery,cœuvres-et-valsery
boeurs-en-othe,bœurs-en-othe
nézignan-l'evêque,nézignan-l'évêque
bordères-sur-l'echez,bordères-sur-l'échez
bourg-l'evêque,bourg-l'évêque
saint-cyr-l'ecole,saint-cyr-l'école
eragny-sur-epte,éragny-sur-epte
cheylard-l'evêque,cheylard-l'évêque
crèvecoeur-en-auge,crèvecœur-en-auge
l'etrat,l'étrat
marcq-en-baroeul,marcq-en-barœul
mons-en-baroeul,mons-en-barœul
heiltz-l'evêque,heiltz-l'évêque
saint-dizier-l'evêque,saint-dizier-l'évêque
sanssac-l'eglise,sanssac-l'église
epreville-en-lieuvin,épreville-en-lieuvin
bois-l'evêque,bois-l'évêque
neuilly-l'evêque,neuilly-l'évêque
savigné-l'evêque,savigné-l'évêque
oeuf-en-ternois,œuf-en-ternois
